Script Start,Round,Round Start, Round Finish,Source,Source User,Target Name,Target Name, Target Type,Is Default, Port Name
09-08-2015 06:57:34,1,06:57:36,06:57:43,HP06B66F (HP Officejet Pro 8600) (redirected 2),Administrator,Full Access,HP06B66F (HP Officejet Pro 8600) On Administrator,Existing - HP06B66F (HP Officejet Pro 8600) On Administrator,Yes,TS001
09-08-2015 07:00:54,4,07:00:59,07:01:01,HP06B66F (HP Officejet Pro 8600) (redirected 2),Administrator,Full Access,HP06B66F (HP Officejet Pro 8600) - Administrator,Existing - HP06B66F (HP Officejet Pro 8600) On Administrator,Yes,TS002
09-08-2015 07:00:54,5,07:01:02,07:01:04,SHARP MX-C311 PS (redirected 2),Administrator,Full Access,SHARP MX-C311 PS - Administrator,Existing - SHARP MX-C311 PS On Administrator,No,TS005
09-08-2015 07:01:54,4,07:01:58,07:02:01,HP06B66F (HP Officejet Pro 8600) (redirected 2),Administrator,Full Access,HP06B66F (HP Officejet Pro 8600) - Administrator,Existing - HP06B66F (HP Officejet Pro 8600) - Administrator,Yes,TS003
09-08-2015 07:01:54,5,07:02:02,07:02:03,SHARP MX-C311 PS (redirected 2),Administrator,Full Access,SHARP MX-C311 PS - Administrator,Existing - SHARP MX-C311 PS - Administrator,No,TS007
09-08-2015 08:14:47,1,08:14:48,08:14:51,SHARP MX-C311 PS (redirected 2),Administrator,Rename Only,SHARP MX-C311 PS - Administrator,Self - SHARP MX-C311 PS (redirected 2),Yes,TS001
09-08-2015 08:14:47,1,08:14:48,08:14:52,HP06B66F (HP Officejet Pro 8600) (redirected 2),Administrator,Rename Only,HP06B66F (HP Officejet Pro 8600) - Administrator,Self - HP06B66F (HP Officejet Pro 8600) (redirected 2),No,TS004
09-08-2015 09:48:50,1,09:48:51,09:48:53,SHARP MX-C311 PS (redirected 2),Administrator,Rename Only,SHARP MX-C311 PS - Administrator,Self - SHARP MX-C311 PS (redirected 2),Yes,TS001
09-08-2015 09:48:50,2,09:48:54,09:48:55,HP06B66F (HP Officejet Pro 8600) (redirected 2),Administrator,Rename Only,HP06B66F (HP Officejet Pro 8600) - Administrator,Self - HP06B66F (HP Officejet Pro 8600) (redirected 2),No,TS004
10-08-2015 08:11:27,1,08:11:32,08:11:35,HP06B66F (HP Officejet Pro 8600) (redirected 2),Administrator,Rename Only,HP06B66F (HP Officejet Pro 8600) - Administrator,Self - HP06B66F (HP Officejet Pro 8600) (redirected 2),No,TS005
10-08-2015 08:11:27,1,08:11:32,08:11:36,SHARP MX-C311 PS (redirected 2),Administrator,Rename Only,SHARP MX-C311 PS - Administrator,Self - SHARP MX-C311 PS (redirected 2),Yes,TS002
10-08-2015 08:22:43,1,08:22:47,08:22:48,HP06B66F (HP Officejet Pro 8600) (redirected 2),Administrator,Rename Only,HP06B66F (HP Officejet Pro 8600) - Administrator,Self - HP06B66F (HP Officejet Pro 8600) (redirected 2),No,TS005
10-08-2015 08:22:43,1,08:22:47,08:22:49,SHARP MX-C311 PS (redirected 2),Administrator,Rename Only,SHARP MX-C311 PS - Administrator,Self - SHARP MX-C311 PS (redirected 2),Yes,TS002
10-08-2015 09:14:13,1,09:14:21,09:14:22,HP06B66F (HP Officejet Pro 8600) (redirected 2),Administrator,Rename Only,HP06B66F (HP Officejet Pro 8600) - Administrator,Self - HP06B66F (HP Officejet Pro 8600) (redirected 2),No,TS004
10-08-2015 09:14:13,1,09:14:21,09:14:22,SHARP MX-C311 PS (redirected 2),Administrator,Rename Only,SHARP MX-C311 PS - Administrator,Self - SHARP MX-C311 PS (redirected 2),Yes,TS001
10-08-2015 09:14:15,1,09:14:21,09:14:22,HP06B66F (HP Officejet Pro 8600) (redirected 2),Administrator,Rename Only,HP06B66F (HP Officejet Pro 8600) - Administrator,Self - HP06B66F (HP Officejet Pro 8600) (redirected 2),No,TS004
